,artists
1336,Gente De Zona
1337,The Proclaimers
1338,Vijay Prakash
1339,Hades66
1340,Paulina Rubio
1341,Eros Ramazzotti
1342,Travis Barker
1343,Aaliyah
1344,Lasso
1345,CNCO
1346,Far East Movement
1347,AFROJACK
1348,Idina Menzel
1349,TarcÃ­sio do Acordeon
1350,Brandi Carlile
1351,Kxllswxtch
1352,La Joaqui
1353,Harrdy Sandhu
1354,All Time Low
1355,CafÃ© Tacvba
1356,Kausar Munir
1357,Surfaces
1358,Crowded House
1359,Intocable
1360,GROUPLOVE
1361,Sixpence None The Richer
1362,Soundgarden
1363,Ricky Montgomery
1364,Fat Joe
1365,Anuradha Paudwal
1366,Fiersa Besari
1367,Melendi
1368,JT
1369,Jory Boy
1370,Hippie Sabotage
1371,Angel Y Khriz
1372,Manoj Muntashir
1373,Baby Rasta
1374,Adolescent's Orquesta
1375,Dyamante DJ
1376,Calle 24
1377,Katrina & The Waves
1378,Five Finger Death Punch
1379,Aditya A
1380,Ninho
1381,Heuss L'enfoirÃ©
1382,Tom Walker
1383,Gajendra Verma
1384,Mika Singh
1385,Tinie Tempah
1386,NUEKI
1387,Meet Bros.
1388,Europe
1389,MC Rogerinho
1390,Orochi
1391,Ajaxx
1392,Salve Malak
1393,Willie ColÃ³n
1394,Luar La L
1395,Don McLean
1396,DJ Jeeh FDC
1397,Denzel Curry
1398,$NOT
1399,Marquinho no Beat
1400,Ja Rule
